council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url
oakland,621e15a0dcae,2021-09-01 21:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/28742dc05c7d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/9/8578_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-09-01_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/56c5e8a56583abf9235fd3047deea5d3442aa242e5b0ed89ee56eea73254a3d8-video.mp4?alt=media
oakland,fac34684cfcf,2021-10-19 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/8a9483fa9dda?s=0,https://oakland.legistar1.com/oakland/meetings/2021/10/8596_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-10-19_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/c4bb75069811154385c8d1c7dede13d4b15c927ac91d9ecf11e428c8c50679fc-video.mp4?alt=media
oakland,990de9e8281b,2021-11-02 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/08b5aa9427dc?s=0,https://oakland.legistar1.com/oakland/meetings/2021/11/8602_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-11-02_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/5344fb66d3326d3cd57ea9a9f8246d55fc3d5edbd8ca93f8733e22d7fdeb4e21-video.mp4?alt=media
oakland,6dea40e44458,2021-11-16 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/a5ede8ff9a4d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/11/8609_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-11-16_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/a0424e1266b72c0a1511fcf1210433ccfccb343fd7fbea1feee5b70b5cef0646-video.mp4?alt=media
oakland,7b2fd03094be,2022-01-18 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/457cf8a0f5e3?s=0,https://oakland.legistar1.com/oakland/meetings/2022/1/8644_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-01-18_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/37f7095c4ea253b6b83a9ad46df605142d410c23d176954b245e0bb5895384af-video.mp4?alt=media
oakland,bd2d23bae1e5,2022-02-15 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/f204c8b40644?s=0,https://oakland.legistar1.com/oakland/meetings/2022/2/8647_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-02-15_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/c2e940ea4f23143003b14ba12a5b98b5dbf4450f798b444a201ec9c34d8c5dd5-video.mp4?alt=media
oakland,c658b9361f53,2022-02-17 23:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/2565052f0376?s=0,https://oakland.legistar1.com/oakland/meetings/2022/2/8658_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-02-17_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/144d62935fbde0964e35a749a4d0a272f5c5d0e8de41aa31bc31f0863f7f5307-video.mp4?alt=media
oakland,c63f15c4d07d,2022-03-01 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/0e44c06eaf1d?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8648_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_22-03-01_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/3476430e8fa04f72babf09d7ef6753e8e1c701f99523e74296d7063103718db0-video.mp4?alt=media
oakland,dfd3c9be4dc4,2022-03-15 18:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/a9ed0678f975?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8664_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-03-15_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/b100e088fd3fb65115739512c90074bd6081b1c5e2924931beb757d8837e2ba0-video.mp4?alt=media
oakland,5e4dcb4f6671,2022-03-29 20:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/300d384beefc?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8682_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-03-29_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/7cd592b9c1c5836b5d5f23c90432c6bb63ca9df771c679181fdbce4fb28d7283-video.mp4?alt=media
