council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,transcript_as_csv_path
oakland,c6020f9288aa,2021-04-19 20:30:00+00:00,*Special Public Works Committee,other,https://councildataproject.org/oakland/#/events/14ef1c7cc350?s=0,https://oakland.legistar1.com/oakland/meetings/2021/4/8519_M__Special_Public_Works_Committee_21-04-19_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/677d63f892992d4c060f6ada142d78e6aa683081c81c4f0152421ca8cb11f3e3-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-14ef1c7cc350/session-c6020f9288aa/transcript.csv
oakland,6e8e3394a044,2020-02-11 17:30:00+00:00,*Finance & Management Committee,other,https://councildataproject.org/oakland/#/events/8ea9ed17d19e?s=0,https://oakland.legistar1.com/oakland/meetings/2020/2/8353_M__Finance___Management_Committee_20-02-11_Meeting_Minutes.pdf,https://archive-video.granicus.com/oakland/oakland_a63cd5bd-ded2-48a2-8b1b-c841c60009c7.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-8ea9ed17d19e/session-6e8e3394a044/transcript.csv
oakland,7688c8f80621,2021-11-04 17:30:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/50b4c55eb4cf?s=0,https://oakland.legistar1.com/oakland/meetings/2021/11/8603_M__Rules___Legislation_Committee_21-11-04_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/0378a4766a155784b3295549e989802e56802e5ecadcc48764e5636da87b156e-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-50b4c55eb4cf/session-7688c8f80621/transcript.csv
oakland,f5b28ab6c49f,2022-02-08 21:30:00+00:00,*Public Safety Committee,other,https://councildataproject.org/oakland/#/events/28b146a64c54?s=0,https://oakland.legistar1.com/oakland/meetings/2022/2/8645_M__Public_Safety_Committee_22-02-08_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/742a8b1e044c3d3255afa6d9ed944ab0ca5f0bdaf5e17ea78dece285b3673a31-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-28b146a64c54/session-f5b28ab6c49f/transcript.csv
oakland,37f230e995b5,2021-10-25 20:30:00+00:00,*Special Public Works Committee,other,https://councildataproject.org/oakland/#/events/117604d34ec6?s=0,https://oakland.legistar1.com/oakland/meetings/2021/10/8605_M__Special_Public_Works_Committee_21-10-25_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e694693a46ece0c6b1183739207c5cf66461f077e18bb69da92c83eead69bf65-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-117604d34ec6/session-37f230e995b5/transcript.csv
oakland,8ed2d835ef2b,2021-12-13 22:00:00+00:00,*Special Life Enrichment Committee,other,https://councildataproject.org/oakland/#/events/385fdc35083b?s=0,https://oakland.legistar1.com/oakland/meetings/2021/12/8624_M__Special_Life_Enrichment_Committee_21-12-13_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/15514c1b3cb739654bdcf6a54d809b87e2f65c39b0a412546e1e0a41d3c58a55-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-385fdc35083b/session-8ed2d835ef2b/transcript.csv
oakland,e72fd9ec7f60,2021-06-24 17:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/0fbe6a1c73ea?s=0,https://oakland.legistar1.com/oakland/meetings/2021/6/8533_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-06-24_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/fe254af2fde5f496accb7883337511e61d9e1a6e5e627e0769495485fe9adcb6-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-0fbe6a1c73ea/session-e72fd9ec7f60/transcript.csv
oakland,cfb96e89ee1d,2022-10-10 20:30:00+00:00,*Finance and Management Committee - CANCELLED,other,https://councildataproject.org/oakland/#/events/cd116c291d5e?s=0,https://oakland.legistar1.com/oakland/meetings/2022/10/8747_M__Finance_and_Management_Committee_-_CANCELLED_22-10-10_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/71666d4c7a7ddfd0457ed6376e3ce7b6a8c871a4e622c63d3a812ac72adf89c8-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-cd116c291d5e/session-cfb96e89ee1d/transcript.csv
oakland,048f95618850,2022-06-21 17:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/ae315e77680c?s=0,https://oakland.legistar1.com/oakland/meetings/2022/6/8708_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-06-21_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/3e81dd63205da3ff15a5d0438a9218157688a42aea1cc5d91281444c3aa3e8b3-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-ae315e77680c/session-048f95618850/transcript.csv
oakland,70a14c89ece1,2021-09-27 23:30:00+00:00,Special Concurrent Meeting of the Education Partnership Committee and the Oakland Unified School District Board of Education,other,https://councildataproject.org/oakland/#/events/c80da777e3b2?s=0,https://oakland.legistar1.com/oakland/meetings/2021/9/8570_M_Special_Concurrent_Meeting_of_the_Education_Partnership_Committee_and_the_Oakland_Unified_School_District_Board_of_Education_21-09-27_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/1c395949ae2a614d7b44a4c3bef550ba83a18d2ececa8d98f1bada078acd4a27-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-c80da777e3b2/session-70a14c89ece1/transcript.csv
